company,location,total_laid_off,date,percentage_laid_off,industry,source,stage,funds_raised,country,date_added
"Ola Electric",Bengaluru,1000.0,2025-03-03,,Transportation,https://inc42.com/buzz/ola-electric-to-cut-over-1k-jobs-amid-rising-losses-report/,Post-IPO,1700,India,3/5/2025
Bench,Vancouver,450.0,2024-12-27,100%,Finance,https://techcrunch.com/2024/12/27/bench-shuts-down-leaving-thousands-of-businesses-without-access-to-accounting-and-tax-docs/,"Series C",109,Canada,12/28/2024
Chegg,"SF Bay Area",248.0,2025-05-12,22%,Education,https://www.reuters.com/world/americas/chegg-lay-off-22-workforce-ai-tools-shake-up-edtech-industry-2025-05-12/,Post-IPO,227,"United States",5/12/2025
ConsenSys,"New York City",163.0,2024-10-29,20%,Crypto,https://decrypt.co/288832/ethereum-giant-consensys-layoffs-eth-slump,"Series D",726,"United States",10/30/2024
Nikola,Phoenix,130.0,2024-10-11,15%,Transportation,https://finance.yahoo.com/news/numbers-nikola-150000920.html,Post-IPO,3300,"United States",10/17/2024
Zeen,"SF Bay Area",,2025-07-21,100%,Consumer,https://www.businessinsider.com/social-media-creator-economy-collage-startup-zeen-shutting-down-2025-7,Unknown,9,"United States",7/22/2025
"Skybox Security","SF Bay Area",300.0,2025-02-24,100%,Security,https://www.calcalistech.com/ctechnews/article/s1wi4rc5yl,"Private Equity",335,"United States",2/26/2025
F5,Seattle,100.0,2024-10-29,2%,Security,https://www.geekwire.com/2024/f5-confirms-new-round-of-job-cuts-continuing-annual-pattern-of-workforce-reductions/,Post-IPO,NULL,"United States",10/30/2024
HP,"SF Bay Area",2000.0,2025-02-28,,Hardware,https://www.sfchronicle.com/tech/article/hp-job-cuts-tariff-concerns-20193141.php,Post-IPO,NULL,"United States",3/1/2025
"Better Collective",Copenhagen,300.0,2024-11-14,,Other,https://www.igbaffiliate.com/en/articles/117348/m-a-helps-better-collective-fend-off-trouble-in-q3-as-300-staff-layoffs-revealed/,Unknown,NULL,Denmark,2/18/2025
Klub,Bengaluru,60.0,2024-11-29,,Finance,https://www.livemint.com/companies/start-ups/klub-halves-workforce-peak-xv-trifecta-capital-backed-fintech-startup-11732868338440.html,Unknown,35,India,12/1/2024
"Eigen Labs",Seattle,29.0,2025-07-08,25%,Crypto,https://blockworks.co/news/eigen-layoffs-25-eigencloud,Unknown,234,"United States",7/11/2025
TrueLayer,London,71.0,2024-11-15,25%,Finance,https://www.cityam.com/former-fintech-unicorn-truelayer-laid-off-a-quarter-of-staff-in-one-day/,"Series E",321,"United Kingdom",11/21/2024
Forward,"SF Bay Area",200.0,2024-11-12,100%,Healthcare,https://www.theinformation.com/articles/forward-startup-behind-doctor-in-box-healthcare-modules-to-shut-down,"Series E",325,"United States",11/13/2024
Tomorrow,Seattle,,2025-04-28,100%,Hardware,https://thespoon.tech/next-gen-fridge-startup-tomorrow-shuts-down/,Unknown,NULL,"United States",5/3/2025
MessageBird,Amsterdam,120.0,2025-02-10,33%,Other,https://techcrunch.com/2025/02/10/bird-cuts-120-jobs-as-part-of-strategic-realignment/,"Series C",1100,Netherlands,2/11/2025
Docker,"SF Bay Area",,2024-10-29,10%,Infrastructure,"Internal memo","Series C",436,"United States",10/30/2024
"Monarch Tractor","SF Bay Area",35.0,2024-11-08,10%,Other,https://techcrunch.com/2024/11/08/monarch-tractor-lays-off-10-in-restructuring-towards-software-and-licensing-av-tech/,Unknown,214,"United States",11/9/2024
